"sample.id","value","dataset.id","site.id","site.name","depth","elev","type","pub_year","age","geometry"
192438,10.87,20838,13683,"Purple Lake",80,3226,"fossil",2012,2694,c(-111.57115, 38.07438)
192439,10.27,20838,13683,"Purple Lake",88,3226,"fossil",2012,3022,c(-111.57115, 38.07438)
192440,11.34,20838,13683,"Purple Lake",96,3226,"fossil",2012,3371,c(-111.57115, 38.07438)
192441,11.87,20838,13683,"Purple Lake",104,3226,"fossil",2012,3709,c(-111.57115, 38.07438)
192442,10.25,20838,13683,"Purple Lake",112,3226,"fossil",2012,4038,c(-111.57115, 38.07438)
192443,10.85,20838,13683,"Purple Lake",120,3226,"fossil",2012,4383,c(-111.57115, 38.07438)
192444,11.86,20838,13683,"Purple Lake",128,3226,"fossil",2012,4738,c(-111.57115, 38.07438)
192445,10.32,20838,13683,"Purple Lake",136,3226,"fossil",2012,5095,c(-111.57115, 38.07438)
192446,12.1,20838,13683,"Purple Lake",144,3226,"fossil",2012,5446,c(-111.57115, 38.07438)
264381,12.84,25551,246,"Beef Pasture",4.5,3060,"fossil",2006,14,c(-108.160375, 37.473105)
264382,13.33,25551,246,"Beef Pasture",6.5,3060,"fossil",2006,45,c(-108.160375, 37.473105)
264383,13.51,25551,246,"Beef Pasture",8.5,3060,"fossil",2006,76,c(-108.160375, 37.473105)
264384,13.24,25551,246,"Beef Pasture",10.5,3060,"fossil",2006,106,c(-108.160375, 37.473105)
264385,12.44,25551,246,"Beef Pasture",12.5,3060,"fossil",2006,136,c(-108.160375, 37.473105)
264386,13.41,25551,246,"Beef Pasture",14.5,3060,"fossil",2006,165,c(-108.160375, 37.473105)
264387,11.46,25551,246,"Beef Pasture",16.5,3060,"fossil",2006,196,c(-108.160375, 37.473105)
264388,12.82,25551,246,"Beef Pasture",18.5,3060,"fossil",2006,227,c(-108.160375, 37.473105)
264389,14.35,25551,246,"Beef Pasture",20.5,3060,"fossil",2006,261,c(-108.160375, 37.473105)
264390,14.46,25551,246,"Beef Pasture",22.5,3060,"fossil",2006,294,c(-108.160375, 37.473105)
264391,14.35,25551,246,"Beef Pasture",24.5,3060,"fossil",2006,327,c(-108.160375, 37.473105)
264394,13.28,25551,246,"Beef Pasture",30.5,3060,"fossil",2006,425,c(-108.160375, 37.473105)
264395,13.67,25551,246,"Beef Pasture",32.5,3060,"fossil",2006,456,c(-108.160375, 37.473105)
264396,13.28,25551,246,"Beef Pasture",34.5,3060,"fossil",2006,485,c(-108.160375, 37.473105)
264397,12.72,25551,246,"Beef Pasture",36.5,3060,"fossil",2006,508,c(-108.160375, 37.473105)
264398,11.59,25551,246,"Beef Pasture",38.5,3060,"fossil",2006,531,c(-108.160375, 37.473105)
264399,11.14,25551,246,"Beef Pasture",40.5,3060,"fossil",2006,558,c(-108.160375, 37.473105)
264400,12.09,25551,246,"Beef Pasture",42.5,3060,"fossil",2006,585,c(-108.160375, 37.473105)
264401,14.46,25551,246,"Beef Pasture",44.5,3060,"fossil",2006,613,c(-108.160375, 37.473105)
264402,14.37,25551,246,"Beef Pasture",46.5,3060,"fossil",2006,641,c(-108.160375, 37.473105)
264403,11.28,25551,246,"Beef Pasture",48.5,3060,"fossil",2006,668,c(-108.160375, 37.473105)
264404,11.03,25551,246,"Beef Pasture",50.5,3060,"fossil",2006,694,c(-108.160375, 37.473105)
264405,12.71,25551,246,"Beef Pasture",52.5,3060,"fossil",2006,714,c(-108.160375, 37.473105)
264406,13.24,25551,246,"Beef Pasture",54.5,3060,"fossil",2006,733,c(-108.160375, 37.473105)
264407,14.45,25551,246,"Beef Pasture",56.5,3060,"fossil",2006,752,c(-108.160375, 37.473105)
264408,14.35,25551,246,"Beef Pasture",58.5,3060,"fossil",2006,772,c(-108.160375, 37.473105)
264409,13.88,25551,246,"Beef Pasture",60.5,3060,"fossil",2006,793,c(-108.160375, 37.473105)
264410,13.88,25551,246,"Beef Pasture",62.5,3060,"fossil",2006,816,c(-108.160375, 37.473105)
264411,11.7,25551,246,"Beef Pasture",64.5,3060,"fossil",2006,838,c(-108.160375, 37.473105)
264412,12.53,25551,246,"Beef Pasture",66.5,3060,"fossil",2006,861,c(-108.160375, 37.473105)
264413,13,25551,246,"Beef Pasture",68.5,3060,"fossil",2006,885,c(-108.160375, 37.473105)
264414,11.02,25551,246,"Beef Pasture",70.5,3060,"fossil",2006,912,c(-108.160375, 37.473105)
264415,12.77,25551,246,"Beef Pasture",72.5,3060,"fossil",2006,943,c(-108.160375, 37.473105)
264416,13.25,25551,246,"Beef Pasture",74.5,3060,"fossil",2006,973,c(-108.160375, 37.473105)
264417,11.56,25551,246,"Beef Pasture",76.5,3060,"fossil",2006,1004,c(-108.160375, 37.473105)
264418,12.38,25551,246,"Beef Pasture",78.5,3060,"fossil",2006,1035,c(-108.160375, 37.473105)
264419,11.69,25551,246,"Beef Pasture",80.5,3060,"fossil",2006,1072,c(-108.160375, 37.473105)
264420,11.45,25551,246,"Beef Pasture",82.5,3060,"fossil",2006,1115,c(-108.160375, 37.473105)
264421,11.7,25551,246,"Beef Pasture",84.5,3060,"fossil",2006,1158,c(-108.160375, 37.473105)
264422,13.94,25551,246,"Beef Pasture",86.5,3060,"fossil",2006,1201,c(-108.160375, 37.473105)
264423,14.46,25551,246,"Beef Pasture",88.5,3060,"fossil",2006,1246,c(-108.160375, 37.473105)
264424,10.51,25551,246,"Beef Pasture",90.5,3060,"fossil",2006,1288,c(-108.160375, 37.473105)
264425,13.05,25551,246,"Beef Pasture",92.5,3060,"fossil",2006,1325,c(-108.160375, 37.473105)
264426,14.16,25551,246,"Beef Pasture",94.5,3060,"fossil",2006,1362,c(-108.160375, 37.473105)
264427,13.4,25551,246,"Beef Pasture",96.5,3060,"fossil",2006,1400,c(-108.160375, 37.473105)
264428,13.99,25551,246,"Beef Pasture",98.5,3060,"fossil",2006,1438,c(-108.160375, 37.473105)
264429,11.45,25551,246,"Beef Pasture",100.5,3060,"fossil",2006,1473,c(-108.160375, 37.473105)
264430,11.7,25551,246,"Beef Pasture",102.5,3060,"fossil",2006,1505,c(-108.160375, 37.473105)
264431,11.17,25551,246,"Beef Pasture",104.5,3060,"fossil",2006,1536,c(-108.160375, 37.473105)
264432,10.63,25551,246,"Beef Pasture",106.5,3060,"fossil",2006,1568,c(-108.160375, 37.473105)
