Year,Prop in niche,Prop in niche (Gaussian centered),Prop in niche (linear lagged)
307,0.7046594982078853,0.700851871841077,0.689243277630374
308,0.6861648745519713,0.683697644643473,0.67426523297491
309,0.9321863799283154,0.658477201004199,0.656164719390526
310,0.8358422939068101,0.626802444849901,0.638300051203277
311,0.7204301075268817,0.595941326502546,0.652348989123183
312,0.6438709677419355,0.556555876010042,0.71300842526649
313,0.5567025089605735,0.51859232906046,0.740579993483219
314,0.5893906810035843,0.477718181194124,0.742656053623796
315,0.015197132616487455,0.440696655173197,0.758489348166767
316,0.7185663082437276,0.401185777324387,0.738443110056013
317,0.05792114695340502,0.370189494192477,0.713804093158932
318,0.00989247311827957,0.344501679369366,0.722214464149948
319,0.18365591397849462,0.326452417811961,0.68676379773154
320,0.036415770609319,0.314306089320506,0.650085493956462
321,0.334336917562724,0.31325177369184,0.655435460596751
322,0.2637992831541219,0.319090350001809,0.629523499200919
323,0.5539784946236559,0.333024930180923,0.620017067759003
324,0.3608602150537634,0.351374008690632,0.606051296373877
325,0.6622222222222223,0.37329515188417,0.584053747924716
326,0.00917562724014337,0.40388785507002,0.556223370416919
327,0.3972759856630824,0.430665657164233,0.530166798553895
328,0.2739784946236559,0.465978888938678,0.504383310834924
329,0.3711827956989247,0.501164657864442,0.478917593756303
330,0.4682437275985663,0.534080831973605,0.429077875529488
331,0.7614336917562724,0.568095063359715,0.387674595416531
332,0.6622222222222223,0.595824314782174,0.356511350059737
333,0.8455913978494624,0.621683433016963,0.333181275116759
334,0.7062365591397849,0.63626328946962,0.3184229390681
335,0.6996415770609319,0.650311985732566,0.301170227621841
336,0.7934050179211469,0.657393621536964,0.339485794969666
337,0.7595698924731182,0.660767030770198,0.314036214681376
338,0.7794982078853047,0.652837913604066,0.351768995639963
339,0.6648028673835126,0.643286405115186,0.396703129606355
340,0.6114695340501792,0.627837201688163,0.427692594144207
341,0.7066666666666667,0.611926215264893,0.474969045291626
342,0.537921146953405,0.594041406163873,0.496043072817266
343,0.6113261648745519,0.579368477221713,0.525034057937284
344,0.17863799283154122,0.566964058234189,0.52602026408478
345,0.5842293906810035,0.562155884867367,0.54552964359416
346,0.7048028673835125,0.56315386767091,0.537826808794551
347,0.3506810035842294,0.568665289127918,0.590970224518612
348,0.27770609318996414,0.580696798676568,0.608314170894816
349,0.5786379928315413,0.592911573869518,0.638185852379401
350,0.46408602150537637,0.613970784567674,0.659622957687474
351,0.7323297491039427,0.628747757670906,0.673379571444088
352,0.7344802867383513,0.647313778731274,0.660365870688451
353,0.7364874551971327,0.66311210068792,0.656692888950953
354,0.7653046594982079,0.668727217751299,0.636002420518549
355,0.912258064516129,0.676776518215653,0.628872441775668
356,0.9049462365591397,0.672822956204026,0.623230771617868
357,0.8084587813620072,0.658845119638412,0.609130320098062
358,0.825089605734767,0.644340161795367,0.598389424195876
359,0.3688888888888889,0.62315137514417,0.584059333736753
360,0.8927598566308244,0.592230252384228,0.581142919207435
361,0.06896057347670251,0.565774274007523,0.580726465887756
362,0.7505376344086021,0.539798783850012,0.571845645394032
363,0.5473835125448029,0.51548007211674,0.578346289314031
364,0.08716845878136201,0.496366111426311,0.575904668807895
365,0.6959139784946237,0.48019564747397,0.61503762665053
366,0.4838709677419355,0.471555659557234,0.616864187186768
367,0.18594982078853048,0.469341567521483,0.605483405483406
368,0.46910394265232974,0.472278867203242,0.626808173904948
369,0.2821505376344086,0.481721475157831,0.654786265108846
370,0.01763440860215054,0.496389052319581,0.652978323946066
371,0.6536200716845878,0.509035903602559,0.662404692082111
372,0.8434408602150537,0.528146414554993,0.647926267281106
373,0.6570609318996415,0.536769567711813,0.632917190336545
374,0.7346236559139785,0.547658397445774,0.61771757513693
375,0.497921146953405,0.552044699309904,0.598740709708452
376,0.7772043010752688,0.551872088135806,0.565819795497215
377,0.68659498207885306,0.548075957210426,0.532618349392543
378,0.47698924731182796,0.54639577302681,0.506753557076138
379,0.6394265232974911,0.540548707680662,0.478573135347329
380,0.4080286738351254,0.53574845677617,0.492034942357523
