Year,Average prod (kg/ha),Average prod (Gaussian centered),Average prod (linear lagged)
961,224.82796916701784,226.654440551134,210.051128458445
962,265.50481106897035,228.944646520822,207.015508654968
963,250.29466041578874,231.522463573372,208.754186672881
964,277.8206384323641,233.609711886862,206.1559772519
965,261.6778603034134,235.03614316724,209.282716888042
966,284.6160889872173,235.84128109998,211.762978841756
967,227.97749859530833,236.474872060274,213.697081015744
968,193.83956665261974,236.019172280004,217.009160026306
969,181.4771737603596,235.898552405982,220.243887082857
970,222.75137835370137,234.927928690586,222.83627216418
971,199.68691178536312,233.816982184667,222.598006128347
972,239.85523774406516,233.344510306437,222.88153356453
973,317.1111550077258,231.546646246451,221.188512966642
974,281.6869469026549,230.036763710356,219.592279007339
975,227.40181205225454,228.401884480038,220.402217307322
976,191.26208034836353,226.358161187528,224.893659785806
977,249.15409467621856,224.797282144982,228.048896876172
978,182.22261729175446,223.909106497509,229.576436966134
979,223.54077995504986,223.028130783906,233.920595356673
980,147.93841304958562,221.913142402497,240.388078188726
981,232.54639872173058,220.072560839055,240.569553786921
982,288.96370627897176,218.733813608075,241.547659751753
983,180.68885201573255,216.853857811293,238.460702344315
984,215.16870346958842,214.354153301169,236.604425485668
985,237.1690370838601,212.537899484203,232.069806030931
986,186.36816968675376,210.088052403588,228.676695883949
987,261.3623841129372,207.585618162793,223.097626831192
988,256.04043756145524,203.676125554489,222.789005125604
989,209.29963829189492,199.823752424832,225.650758495496
990,169.66137273493467,195.621138983181,229.585215110895
991,135.10716919511168,191.985950013271,229.388059147857
992,176.7969254811069,187.394353232821,231.188582023048
993,169.41443671864025,183.413243199979,229.032500369416
994,184.1371857002388,181.184288906639,219.277508621219
995,229.99630390504285,178.291993243324,212.519130410723
996,147.0628423935946,175.707477386831,210.347976711915
997,176.3672917544599,175.099669396713,211.397773563703
998,137.52975312543896,174.213636288781,206.701437764254
999,135.88216392751792,173.67039489707,207.889173703807
1000,177.7058224469729,174.219244003282,205.122293308134
1001,180.6336388537716,175.114459338047,209.369893132456
1002,154.48424111532518,176.302755052965,205.587926477465
1003,221.65299726085124,176.954024754681,196.385725330179
1004,232.57456278971765,177.340759524876,197.251306218832
1005,135.81143770192443,177.618374692103,194.638817210088
1006,138.30705681977807,177.516193383337,189.598323932237
1007,239.42218886079505,177.983256034985,189.405762405525
1008,196.66795722713863,177.910579537214,182.115482567837
1009,153.20633164770334,178.395897681198,174.863846763341
1010,180.33745961511448,179.141853018015,171.735997131936
1011,160.4712389380531,180.067388180691,172.171842058536
1012,167.81981317600787,181.554663378666,175.890591393436
1013,165.8348258182329,183.484365654962,175.771907907259
1014,152.72151987638713,186.011344385875,176.25209605385
1015,184.35478121927238,189.10821192367,175.394794446786
1016,200.49755056890012,193.420265813626,170.240781862937
1017,197.99080804888328,197.940912594906,172.846642254828
1018,188.6102243994943,201.692911401814,172.841461504151
1019,216.70251264222503,205.47946167129,176.709705302073
